127.0.0.1 - - [17/Mar/2025:19:59:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/UFC-4.jsp HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/styles/header.css HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/styles/footer.css HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/styles/main.css HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/styles/nav.css HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/image/UFC/ea-ufc-4-logo-2.png HTTP/1.1" 200 41200
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/image/UFC/ngannou.jpg HTTP/1.1" 200 110656
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/image/UFC/Conor_McGregor.jpg HTTP/1.1" 200 39292
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/image/UFC/londa.jpg HTTP/1.1" 200 16514
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/image/UFC/jon_jones.jpg HTTP/1.1" 200 132056
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:39 +0900] "GET /project1/image/UFC/Brock%20Edward%20Lesnar.jpg HTTP/1.1" 200 78108
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project1/RDR.jsp HTTP/1.1" 200 16058
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project1/image/Red/red-dead-redemption-logo.png HTTP/1.1" 200 102649
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project1/image/Red/Dutch_van_der_Linde_Artwork.png HTTP/1.1" 200 187750
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project1/image/Red/Arthur%20Morgan.png HTTP/1.1" 200 192240
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project1/image/Red/Micah_Bell_Artwork.png HTTP/1.1" 200 207604
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project1/image/Red/Milton_2.png HTTP/1.1" 200 114904
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project1/image/Red/Colm.png HTTP/1.1" 200 170854
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project1/image/Red/John_RDR1.png HTTP/1.1" 200 67874
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project1/image/Red/Edgar%20Ross.jpg HTTP/1.1" 200 37870
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project1/image/Red/Sadie_official_art.png HTTP/1.1" 200 196934
0:0:0:0:0:0:0:1 - - [17/Mar/2025:19:59:46 +0900] "GET /project01/image/Red/red-dead-redemption-75746.png HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:45 +0900] "GET /project1/RDR.jsp HTTP/1.1" 200 16058
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:45 +0900] "GET /project1/styles/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:45 +0900] "GET /project1/styles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:45 +0900] "GET /project1/styles/nav.css HTTP/1.1" 304 -
